anchor,sidekick,co_drafts,anchor_draft_seasons,sidekick_draft_seasons,p_anchor_given_sidekick,p_sidekick_given_anchor,asymmetry,chemistry_z,expected_co_drafts_season_random,same_season_drafts,pair_seasons,pair_team_names
Porygon2,Rotom-Frost,2,9,4,0.5,0.2222222222222222,0.2777777777777778,4.919349550499538,0.15267175572519084,2,S7; S12,Aggies; Primarinas
Zapdos,Beedrill-Mega,2,9,4,0.5,0.2222222222222222,0.2777777777777778,4.919349550499538,0.15267175572519084,2,S10; S11,Metapods; Oricorios
Aggron-Mega,Comfey,2,9,4,0.5,0.2222222222222222,0.2777777777777778,3.8512127930368165,0.22895128328424597,3,S7; S15,Metapods; Staraptors
Umbreon,Dragalge,2,9,4,0.5,0.2222222222222222,0.2777777777777778,3.8506555557938955,0.22900763358778625,3,S4; S9,Ribombees; Shaymins
Umbreon,Typhlosion,2,9,4,0.5,0.2222222222222222,0.2777777777777778,3.8506555557938955,0.22900763358778625,3,S3; S9,Regiskins; Shaymins
Venusaur-Mega,Minior,2,9,4,0.5,0.2222222222222222,0.2777777777777778,3.8506555557938955,0.22900763358778625,3,S5; S10,Aggrons; Chatots
Excadrill,Virizion,2,9,4,0.5,0.2222222222222222,0.2777777777777778,3.0925219355044424,0.3207507528538413,4,S1; S7,Crobats; SD Padreigons
Kyurem,Bellibolt,3,13,6,0.5,0.23076923076923078,0.2692307692307692,4.414426404289968,0.3810141745657088,5,S14; S18; S20,Baltimore Oricorios; Oricorios; Poggers
Vikavolt,Landorus,3,13,6,0.5,0.23076923076923078,0.2692307692307692,4.411184592520949,0.3814776373373176,5,S11; S13; S14,Chatots; Oricorios
Mamoswine,Drapion,3,13,6,0.5,0.23076923076923078,0.2692307692307692,4.306242887085291,0.39708663071643674,5,S1; S3; S4,Lanturns; Patrats; Shaymins
Mew,Cloyster,3,13,6,0.5,0.23076923076923078,0.2692307692307692,4.306242887085291,0.39708663071643674,5,S1; S4; S6,Lanturns; Murkrows; Ribombees
Excadrill,Gigalith,3,9,5,0.6,0.3333333333333333,0.26666666666666666,5.817774066647279,0.2444148749912459,3,S1; S7; S9,Aggrons; Crobats; SD Padreigons
Grimmsnarl,Rillaboom,3,9,5,0.6,0.3333333333333333,0.26666666666666666,4.410919507554661,0.3815155700957228,5,S10; S19; S20,Aggies; Chatots; Houston Zeraora
Spectrier,Zapdos-Galar,2,5,3,0.6666666666666666,0.4,0.2666666666666666,4.922961366188803,0.15246491012065994,2,S10; S16,Primarinas; Shaymins
Pecharunt,Armarouge,2,5,3,0.6666666666666666,0.4,0.2666666666666666,4.9222747822849415,0.1525041899266919,2,S18; S20,Chatots; Massachusetts Metapods
Pelipper,Barraskewda,2,5,3,0.6666666666666666,0.4,0.2666666666666666,4.919349550499538,0.15267175572519084,2,S7; S12,Archeops; Dracos
Dhelmise,Kecleon,2,5,3,0.6666666666666666,0.4,0.2666666666666666,4.670669315550932,0.1680789971286505,2,S1; S2,Escavaliers; Goomys
Torkoal,Walking_Wake,3,6,4,0.75,0.5,0.25,6.031169040907408,0.2285714285714286,3,S14; S17; S19,Gulp Missiles; Metapods; Staraptors
Iron_Valiant,Thundurus-Therian,2,8,4,0.5,0.25,0.25,4.922961366188803,0.15246491012065994,2,S13; S16,Aggies; Primarinas
Hitmontop,Hatterene,2,8,4,0.5,0.25,0.25,4.92188764452199,0.15252635405307163,2,S7; S19,Murkrows; Poggers
Suicune,Aegislash,2,8,4,0.5,0.25,0.25,4.919349550499538,0.15267175572519084,2,S10; S13,Aggrons; Multiscalers
Suicune,Minior,2,8,4,0.5,0.25,0.25,4.919349550499538,0.15267175572519084,2,S5; S10,Aggrons; Chatots
Cobalion,Tapu Fini,2,8,4,0.5,0.25,0.25,3.8506555557938955,0.22900763358778625,3,S2; S4,Patrats; Whiscashes
Mimikyu,Machamp,2,8,4,0.5,0.25,0.25,3.8506555557938955,0.22900763358778625,3,S4; S5,Aggrons
Persian-Alola,Leafeon,2,8,4,0.5,0.25,0.25,3.8506555557938955,0.22900763358778625,3,S6; S12,Multiscalers; Regiskins
Volcanion,Hawlucha,2,8,4,0.5,0.25,0.25,3.8506555557938955,0.22900763358778625,3,S5; S7,Aggrons; Primarinas
Decidueye,Tapu Koko,2,8,4,0.5,0.25,0.25,3.7065077465299514,0.2444148749912459,3,S1; S3,Seadras; Shaymins
Mimikyu,Lucario,2,8,4,0.5,0.25,0.25,3.7065077465299514,0.2444148749912459,3,S1; S12,Lanturns; Multiscalers
Suicune,Virizion,2,8,4,0.5,0.25,0.25,3.7065077465299514,0.2444148749912459,3,S1; S7,Crobats; SD Padreigons
Slowking,Bisharp,3,11,6,0.5,0.2727272727272727,0.2272727272727273,5.074018245633809,0.3053435114503817,4,S11; S12; S13,Chatots; Metapods
Buzzwole,Archaludon,3,8,5,0.6,0.375,0.22499999999999998,6.029409900916934,0.2286946661171681,3,S17; S18; S20,Aggies; Chicago Chatots; Poggers
Celesteela,Hitmontop,4,14,8,0.5,0.2857142857142857,0.2142857142857143,4.933857348264619,0.5342057433660488,7,S3; S8; S11; S19,Crobats; Poggers; Regiskins; Shaymins
Porygon-Z,Skeledirge,2,7,4,0.5,0.2857142857142857,0.2142857142857143,4.92188764452199,0.15252635405307163,2,S13; S14,Aggies; Shaymins
Cofagrigus,Pangoro,2,7,4,0.5,0.2857142857142857,0.2142857142857143,4.919349550499538,0.15267175572519084,2,S4; S5,Murkrows; Primarinas
Ting-Lu,Iron_Leaves,2,7,4,0.5,0.2857142857142857,0.2142857142857143,3.854091510104096,0.22866047994000752,3,S14; S15,Primarinas; Zeraora
Slowking-Galar,Rapidash,2,7,4,0.5,0.2857142857142857,0.2142857142857143,3.8535333689982028,0.22871683024354783,3,S13; S14,Crobats; Multiscalers
Swampert,Stoutland,2,7,4,0.5,0.2857142857142857,0.2142857142857143,3.8506555557938955,0.22900763358778625,3,S6; S8,Krookodiles; Primarinas
Cofagrigus,Landorus-T,2,7,4,0.5,0.2857142857142857,0.2142857142857143,3.0925219355044424,0.3207507528538413,4,S1; S2,Patrats; Primarinas
Cofagrigus,Tapu Fini,2,7,4,0.5,0.2857142857142857,0.2142857142857143,3.0925219355044424,0.3207507528538413,4,S1; S2,Patrats; Primarinas
Slowking-Galar,Baxcalibur,3,7,5,0.6,0.42857142857142855,0.17142857142857143,4.413244261376912,0.3811830874118345,5,S14; S18; S19,Charizards; Multiscalers; Shaymins
Excadrill,Hippowdon,3,9,6,0.5,0.3333333333333333,0.16666666666666669,5.074018245633809,0.3053435114503817,4,S4; S8; S11,PC; Poggers; Regiskins
Cresselia,Komala,2,6,4,0.5,0.3333333333333333,0.16666666666666669,4.922961366188803,0.15246491012065994,2,S12; S16,Primarinas; Staraptors
Illumise,Zarude,2,6,4,0.5,0.3333333333333333,0.16666666666666669,4.9222747822849415,0.1525041899266919,2,S18; S20,Chicago Chatots; Crobats
Keldeo,Doublade,2,6,4,0.5,0.3333333333333333,0.16666666666666669,4.92188764452199,0.15252635405307163,2,S5; S19,Shaymins
Shuckle,Liepard,2,6,4,0.5,0.3333333333333333,0.16666666666666669,4.919349550499538,0.15267175572519084,2,S3; S5,Ribombees; Seadras
Tapu_Bulu,Hawlucha,2,6,4,0.5,0.3333333333333333,0.16666666666666669,4.919349550499538,0.15267175572519084,2,S7; S12,Aggrons; Primarinas
Muk-Alola,Chansey,3,9,6,0.5,0.3333333333333333,0.16666666666666669,4.409775017217924,0.3816793893129771,5,S3; S6; S8,Chatots; Leafeons
Dragonite,Electrode-Hisui,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.8547004686880957,0.22859903600759585,3,S15; S17,Metapods; Murkrows
Latias,Glimmora,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.8541286337765137,0.2286567333587629,3,S15; S17,Charizards; Poggers
Landorus,Tentacruel,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.852651568288738,0.22880588161212673,3,S15; S17,Chatots; Metapods
Heliolisk,Tyranitar,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.8506555557938955,0.22900763358778625,3,S4; S5,Archeops; Regiskins
Malamar,Minior,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.8506555557938955,0.22900763358778625,3,S4; S10,Aggrons
Malamar,Zygarde-10,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.8506555557938955,0.22900763358778625,3,S5; S10,Aggrons
Drapion,Dusknoir,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.7065077465299514,0.2444148749912459,3,S1; S12,Patrats; Zeraora
Malamar,Machamp,2,6,4,0.5,0.3333333333333333,0.16666666666666669,3.191025638897183,0.3053435114503817,4,S4; S5,Aggrons
Banette-Mega,Darkrai,2,4,3,0.6666666666666666,0.5,0.16666666666666663,4.9255039612815885,0.1523195084485407,2,S16; S19,Murkrows; Oricorios
Obstagoon,Centiskorch,2,4,3,0.6666666666666666,0.5,0.16666666666666663,4.919349550499538,0.15267175572519084,2,S7; S10,Azumarills; Shaymins
Stoutland,Gardevoir,2,4,3,0.6666666666666666,0.5,0.16666666666666663,4.919349550499538,0.15267175572519084,2,S2; S11,Leafeons; Oricorios
Tangela,Hariyama,2,4,3,0.6666666666666666,0.5,0.16666666666666663,3.8506555557938955,0.22900763358778625,3,S12; S13,Crobats; Dracos
Hitmontop,Cinderace,3,8,6,0.5,0.375,0.125,6.024948132556827,0.22900763358778625,3,S7; S11; S12,Murkrows; Poggers; Shaymins
Weavile,Gastrodon,3,6,5,0.6,0.5,0.09999999999999998,6.024948132556827,0.22900763358778625,3,S3; S5; S6,Shaymins
Thundurus,Glimmora,2,5,4,0.5,0.4,0.09999999999999998,4.921953095399666,0.152522607471827,2,S13; S18,Oricorios; Poggers
Darmanitan-Galar,Latias-Mega,2,5,4,0.5,0.4,0.09999999999999998,4.919349550499538,0.15267175572519084,2,S7; S8,Chatots; Crobats
Darmanitan-Galar,Virizion,2,5,4,0.5,0.4,0.09999999999999998,4.919349550499538,0.15267175572519084,2,S7; S9,Chatots; Crobats
Mandibuzz,Virizion,2,5,4,0.5,0.4,0.09999999999999998,4.919349550499538,0.15267175572519084,2,S9; S11,Chatots; Poggers
Sneasel,Hawlucha,2,5,4,0.5,0.4,0.09999999999999998,4.670669315550932,0.1680789971286505,2,S1; S5,Lucarios; Primarinas
Baxcalibur,Orthworm,2,5,4,0.5,0.4,0.09999999999999998,3.852688661875186,0.22880213503088212,3,S13; S18,Aggies; Charizards
Cyclizar,Glimmora,2,5,4,0.5,0.4,0.09999999999999998,3.852651568288738,0.22880588161212673,3,S13; S17,Charizards; Oricorios
Kingambit,Quaquaval,2,5,4,0.5,0.4,0.09999999999999998,3.85227612894957,0.22884381437053192,3,S17; S20,Massachusetts Metapods; Zeraora
Froslass,Pangoro,2,5,4,0.5,0.4,0.09999999999999998,3.8512127930368165,0.22895128328424597,3,S10; S15,Charizards; Poggers
Electrode,Minior,2,5,4,0.5,0.4,0.09999999999999998,3.8506555557938955,0.22900763358778625,3,S5; S10,Aggrons; Chatots
Gastrodon,Armaldo,2,5,4,0.5,0.4,0.09999999999999998,3.7078331588736653,0.24426947331912668,3,S3; S14,Murkrows; Shaymins
Gigalith,Virizion,2,5,4,0.5,0.4,0.09999999999999998,3.7065077465299514,0.2444148749912459,3,S1; S7,Crobats; SD Padreigons
