Pokemon,EigenCentrality,Betweenness,Core
Blacephalon,0.06607725034809782,0,2
Sandy_Shocks,0.06474150014815806,0.002469314964235728,2
Chien-Pao,0.06102318583646699,0,2
Swellow,0.06003202118711969,1.5518108047277377e-4,2
Lucario,0.05942280499538536,0,2
Tentacruel,0.056655951830894676,1.5608573105525565e-4,2
Pelipper,0.05173344871289488,0.006095083299471759,2
Mandibuzz,0.049713200327947786,0.0010197171107370214,2
Bellibolt,0.04970544534893491,0,2
Centiskorch,0.04842055732586692,0,2
Obstagoon,0.04842055732586689,0,2
Dragalge,0.04813898411397694,0,2
Leafeon,0.04798995453528101,2.3242400034644765e-5,2
Doublade,0.04653669771708872,0,2
Slowbro-Mega,0.04188744288808842,0,2
Kleavor,0.04143872177471385,0,2
Enamorus,0.041438721774713826,0,2
Eelektross,0.03818529211141669,5.804841237592152e-5,2
Rhyperior,0.03809176266891576,5.030862405913199e-5,2
Urshifu-Rapid-Strike,0.0363208860658231,0,2
Indeedee,0.03631843602239427,0,2
Breloom,0.034198880614058416,0,2
Scream_Tail,0.03205222159301888,0.009389975684165037,2
Primeape,0.02953317797586293,6.256328889404874e-4,2
Zoroark-Hisui,0.025121095376993644,0.007677593589243902,2
Chandelure,0.024942235773362905,0,2
Darmanitan-Galar,0.02269155657523227,1.6059292921195747e-4,2
Lanturn,0.022603758939627783,6.647464620414059e-4,2
Armaldo,0.01706914955444683,3.0959153267158144e-4,2
Celebi,0.016581649088358335,4.179485691066349e-4,2
Archaludon,0.016127467058712663,0.0064433737737272885,2
Annihilape,0.01499348889987399,5.804841237592152e-5,2
Glimmora,0.014117887657705781,0.0065037256945308245,2
Iron_Treads,0.010292968525376023,0.012965435395341939,2
Houndoom-Mega,0.010183229864709771,0.008431877423866745,2
Torkoal,0.003071303554758115,0.024460955992853597,2
Walking_Wake,3.746622959404841e-4,0,2
Great_Tusk,2.7148204304970104e-4,0,2
Musharna,0.07472057559543342,0,1
Yanmega,0.06557727516876993,0,1
Quaquaval,0.05967170910645157,0,1
Grafaiai,0.052458229462851245,0,1
Staraptor,0.04851084190099185,0,1
Blaziken,0.04480254541182644,0,1
Terapagos,0.0438070295604041,0,1
Kingambit,0.04047143592045896,0,1
Goodra-Hisui,0.04037792723843682,0,1
Arcanine-Hisui,0.040377927238436806,0,1
Metagross,0.038342396631768215,0,1
Ogerpon,0.038342396631768215,0,1
Zoroark,0.03799570678154427,0,1
Rotom-Fan,0.035559875566857246,0,1
Hatterene,0.03166583792206352,0,1
Lycanroc-Midnight,0.031143352415059163,0,1
Hitmonchan,0.02920468637360275,0,1
Leavanny,0.025138181565956028,0,1
Altaria-Mega,0.023775786549637485,0,1
Entei,0.023775786549637478,0,1
Toxtricity,0.02156953383207836,0,1
Audino-Mega,0.018974055514672367,0,1
Salamence,0.018974055514672367,0,1
Brambleghast,0.01838947698049959,0,1
Mudsdale,0.018329822155783736,0,1
Basculin,0.01832982215578373,0,1
Garganacl,0.017790704976442973,0,1
Dusknoir,0.017518256626445128,0,1
Clodsire,0.01656762440436806,0.006095083299471759,1
Skeledirge,0.016205382259171817,0,1
Zebstrika,0.014501182420762728,0,1
Charizard,0.014501182420762726,0,1
Sableye-Mega,0.014501182420762726,0,1
Magnezone,0.014501182420762723,0,1
Eldegoss,0.014220804301394342,0,1
Liepard,0.011452400578416063,0,1
Conkeldurr,0.01072143147196858,0,1
Slurpuff,0.010540300335516116,0,1
Gyarados-Mega,0.009959766647179551,0,1
Pecharunt,0.009959766647179551,0,1
Arctovish,0.009920817874426602,0,1
Maushold,0.009599170268402553,0,1
Rapidash,0.0095701271286916,0,1
Gardevoir,0.008612610313743883,0,1
Mawile-Mega,0.008245204815657567,0,1
Orthworm,0.007840218092216912,0,1
Linoone,0.007302727708847992,0,1
Garchomp-Mega,0.005451794274636884,0,1
Barraskewda,0.0038655530653643423,0,1
Probopass,0.0035015053690848614,0,1
Hoopa,0.002555173342786075,0,1
Smeargle,0.002394960446542753,0,1
Electrode-Hisui,0.0021284985290795115,0,1
Politoed,0.0018770627061567458,0,1
Sinistcha,0.001237942431743331,0,1
Alcremie,0.0012050536215234028,0,1
Cyclizar,0.001054896691975441,0,1
Bastiodon,7.734146338654002e-4,0.006095083299471759,1
Venusaur,2.294895694398339e-4,0,1
Brute_Bonnet,2.294895694398338e-4,0,1
Oricorio,5.778998661635495e-5,0,1
Spectrier,4.110104254342456e-18,0,1
Avalugg-Hisui,3.555503679852033e-18,0,1
Zapdos-Galar,3.1229689486163277e-18,0,1
Darkrai,1.394792925937122e-18,0,1
Banette-Mega,2.0946813792706927e-19,0,1
Gouging_Fire,0,0,1
